SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON
"BC08NL0001","2000-01-11 09:15","","0.01700000","0.002","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","V","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00030000","0.0001","","100250","MG/L","ARSENIC TOTAL","ARSENIC TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","19.60000000","0.01","","100493","µG/L","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.01920000","0.0002","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00200000","0.002","","100474","µG/L","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.05000000","0.05","","100218","µG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","5.13000000","0.07","","100475","µG/L","BORON EXTRACTABLE","BORE EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00700000","0.005","","100491","µG/L","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00010000","0.0001","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","19.20000000","0.1","","1143","MG/L","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","12.50000000","0.5","","201144","MG/L","CARBON DISSOLVED INORGANIC","CARBONE INORGANIQUE DISSOUS","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","1.40000000","0.5","","201145","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.11000000","0.02","","100478","µG/L","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00020000","0.0002","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.01200000","0.002","","100480","µG/L","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00010000","0.0001","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","5.00000000","5","","2021","REL UNIT","COLOUR TRUE","COULEUR VRAIE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.88000000","0.04","","100482","µG/L","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00080000","0.0002","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.50000000","0.5","","1207","µG/L","CYANIDE TOTAL","CYANURE TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.50000000","0.5","","200020","µG/L","CYANIDE WEAK ACID DISSOCIABLE","CYANURE DISSOCIABLE PAR DES ACIDES FAIBLES","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.03000000","0.01","","9105","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00400000","0.002","","100484","µG/L","GALLIUM EXTRACTABLE","GALLIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","62.80000000","","","1205","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.01800000","0.0004","","100223","MG/L","IRON TOTAL","FER TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.02400000","0.001","","100494","µG/L","LANTHANUM EXTRACTABLE","LANTHANE EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.03000000","0.01","","100496","µG/L","LEAD EXTRACTABLE","PLOMB EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00020000","0.0002","","100228","MG/L","LEAD TOTAL","PLOMB TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.59000000","0.02","","100473","µG/L","LITHIUM EXTRACTABLE","LITHIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00030000","0.0001","","100224","MG/L","LITHIUM TOTAL","LITHIUM TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","3.60000000","0.1","","1141","MG/L","MAGNESIUM EXTRACTABLE/UNFILTERED","MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.90600000","0.005","","100479","µG/L","MANGANESE EXTRACTABLE","MANGANÈSE EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00080000","0.0001","","100225","MG/L","MANGANESE TOTAL","MANGANÈSE TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.00080000","0.0001","","100226","MG/L","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.02000000","0.02","","100481","µG/L","NICKEL EXTRACTABLE","NICKEL EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00020000","0.0002","","100227","MG/L","NICKEL TOTAL","NICKEL TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.11000000","0.02","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","7.80000000","0.01","","10301","PH","PH","PH","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.01100000","0.002","","15102","MG/L","PHOSPHORUS TOTAL DISSOLVED","PHOSPHORUS TOTAL DISSOUS","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.70000000","0.1","","1142","MG/L","POTASSIUM EXTRACTABLE","POTASSIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","0.36500000","0.002","","100487","µG/L","RUBIDIUM EXTRACTABLE","RUBIDIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00010000","0.0001","","100251","MG/L","SELENIUM TOTAL","SÉLÉNIUM TOTAL","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","","5.27000000","0.05","","1140","MG/L","SILICON EXTRACTABLE","SILICIUM EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00500000","0.005","","100490","µG/L","SILVER EXTRACTABLE","ARGENT EXTRACTIBLE","P","00PY000115"
"BC08NL0001","2000-01-11 09:15","<","0.00010000","0.0001","","100324","MG/L","SILVER TOTAL","ARGENT TOTAL","P","00PY000115"
