id,region,first_nation,water_system_name,advisory_type,status,date_advisory_set,long_term_advisory_since,end_date,epho_recommendation_to_lift,project_phase,population_bucket,corrective_measure,longitude,latitude,is_long_term
1711,ATLANTIC,Abegweit,Morell Public Water System,Boil water advisory,Lifted,2009-04-29,2010-04-29,2015-11-17,NaT,Complete,0 to 100 people,New water treatment system,-62.90262,46.35793,True
1712,ATLANTIC,Abegweit,Rocky Point Public Water System,Boil water advisory,Lifted,2008-01-10,2009-01-10,2015-11-20,NaT,Complete,0 to 100 people,New water treatment system,-62.90262,46.35793,True
1638,ATLANTIC,Natoaganeg,Big Hole Tract Public Water System,Boil water advisory,Lifted,2008-10-08,2009-10-08,2019-04-10,NaT,Complete,0 to 100 people,New water treatment plant,-65.63306,46.9925,True
1713,ATLANTIC,Indian Island,Indian Island Band Office/Health Centre Semi-Public Water System,Boil water advisory,Lifted,2005-04-07,2006-04-07,2016-07-08,NaT,Complete,Unknown,Water system improvements,-64.79117,46.6893803,True
1715,ATLANTIC,Pabineau,Pabineau Public Water System,Boil water advisory,Lifted,2005-06-01,2006-06-01,2016-07-14,NaT,Complete,0 to 100 people,New water treatment system and reservoir,-65.66912,47.53327,True
1716,ATLANTIC,Potlotek First Nation,Potlotek Public Water System,Boil water advisory,Lifted,2015-02-13,2016-02-13,2016-05-27,NaT,Complete,501 to 1000 people,New treatment plant and operator training,-60.77267,45.69817,True
1714,ATLANTIC,Miawpukek,Conne River Public Water System,Boil water advisory,Lifted,2014-09-10,2015-09-10,2018-06-13,NaT,Complete,501 to 1000 people,Repairs/upgrades to treatment system and operator training,-55.75569,47.86383,True
1487,ATLANTIC,Miawpukek,Conne River Public Water System - Bernard Road Area,Boil water advisory,Lifted,2022-12-20,2023-12-20,2025-12-24,NaT,Complete,101 to 500 people,Upgrades to treatment and distribution system,-55.744,47.867,True
1717,QUEBEC,Kitigan Zibi Anishinabeg,Nicolas Stevens Center Semi-Public Water System,Do not consume advisory,Lifted,1999-08-12,2000-08-12,2017-12-11,NaT,Complete,Unknown,Effective monitoring and sampling,-76.06362,46.363995,True
1718,QUEBEC,Kitigan Zibi Anishinabeg,Pakinawatik School Semi-Public Water System,Do not consume advisory,Lifted,1999-08-12,2000-08-12,2017-12-11,NaT,Complete,Unknown,Effective monitoring and sampling,-76.06362,46.363995,True
