station_id,date,parameter,value,anomaly_score,top_drivers,co_flagged_parameters,matched_event_type,matched_event_date,matched_event_description,confidence
16018409202,2021-01-27,"CONDUCTIVITY, AMBIENT",10900.0,1.0,"delta, rolling_std_7, rate_of_change (66.35, 44.55, 40.36)","CONDUCTIVITY, 25C",data_quality,2021-01-27,"Same-visit field/lab conductivity divergence at York (CONDAM 10900 vs COND25 1020, water temp 0.8C); consistent with instrument/data-quality issue rather than a confirmed contamination event.",High
16018409202,2021-02-23,"CONDUCTIVITY, AMBIENT",1208.0,0.9641,"rate_of_change, delta, rolling_std_7 (-70.20, -65.02, 44.25)","CONDUCTIVITY, 25C",flow_spike,2021-02-26,Hydrometric flow spike at gauge 02GB010 3 day(s) from anomaly date.,Possible
16018409302,2019-09-11,"IRON,     UNFILTERED TOTAL",3580.0,0.9588,"rate_of_change, delta, rolling_std_30 (14.34, 13.75, 12.89)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT",none,,No public spill or flow-spike match found in the window.,None
16018409302,2020-10-08,"IRON,     UNFILTERED TOTAL",486.0,0.9563,"rolling_std_7, rolling_std_30, rolling_std_14 (12.59, 12.52, 12.27)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT; PHOSPHORUS,UNFILTERED TOTAL; STRONTIUM, UNFILTERED TOTAL",none,,No public spill or flow-spike match found in the window.,None
16018409302,2019-10-09,"IRON,     UNFILTERED TOTAL",559.0,0.9556,"rate_of_change, delta, rolling_std_30 (-21.10, -20.27, 13.82)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT",none,,No public spill or flow-spike match found in the window.,None
16018401202,2019-06-13,"IRON,     UNFILTERED TOTAL",142.0,0.9517,"rolling_std_30, rolling_std_14, rolling_std_7 (16.41, 16.08, 13.65)","ALUMINIUM, UNFILTERED TOTAL; MANGANESE,UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL",none,,No public spill or flow-spike match found in the window.,None
16018409302,2020-01-13,"IRON,     UNFILTERED TOTAL",973.0,0.9371,"rolling_std_30, rolling_std_14, rolling_std_7 (13.06, 12.79, 11.67)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT; PHOSPHORUS,UNFILTERED TOTAL; STRONTIUM, UNFILTERED TOTAL",none,,No public spill or flow-spike match found in the window.,None
16018409302,2020-03-11,"IRON,     UNFILTERED TOTAL",753.0,0.9261,"rolling_std_30, rolling_std_14, rolling_std_7 (12.63, 12.37, 12.04)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT",none,,No public spill or flow-spike match found in the window.,None
16018409202,2021-03-09,"CONDUCTIVITY, AMBIENT",981.0,0.9184,"rolling_std_7, rolling_std_14, rolling_std_30 (43.77, 36.73, 35.13)","CONDUCTIVITY, 25C",flow_spike,2021-03-05,Hydrometric flow spike at gauge 02GB010 4 day(s) from anomaly date.,Possible
16018402702,2020-01-13,"IRON,     UNFILTERED TOTAL",1750.0,0.9018,"delta, rolling_std_30, rolling_std_14 (10.29, 7.70, 7.54)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT; STRONTIUM, UNFILTERED TOTAL; RESIDUE,PARTICULATE",flow_spike,2020-01-13,Hydrometric flow spike at gauge 02GB001 0 day(s) from anomaly date.,High
16018403502,2020-01-13,"IRON,     UNFILTERED TOTAL",1710.0,0.8891,"delta, rate_of_change, rolling_std_7 (9.78, 8.14, 5.77)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, AMBIENT; STRONTIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; PHOSPHORUS,UNFILTERED TOTAL",flow_spike,2020-01-13,Hydrometric flow spike at gauge 02GB010 0 day(s) from anomaly date.,High
16018402702,2020-10-08,"IRON,     UNFILTERED TOTAL",56.6,0.8792,"rolling_std_30, rolling_std_7, rolling_std_14 (7.31, 7.20, 7.16)","ALUMINIUM, UNFILTERED TOTAL; STRONTIUM, UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT; PHOSPHORUS,UNFILTERED TOTAL; RESIDUE,PARTICULATE",none,,No public spill or flow-spike match found in the window.,None
16018401202,2019-07-17,"IRON,     UNFILTERED TOTAL",585.0,0.8708,"rolling_std_30, rolling_std_14, rolling_std_7 (11.95, 11.70, 9.93)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL",flow_spike,2019-07-17,Hydrometric flow spike at gauge 02GA003 0 day(s) from anomaly date.,High
16018403502,2024-10-31,HARDNESS,1460.0,0.8697,"delta, rate_of_change, zscore (7.70, 5.91, 5.86)",IRON; CALCIUM; ALUMINUM; STRONTIUM; CONDUCTIVITY,flow_spike,2024-10-31,Hydrometric flow spike at gauge 02GB010 0 day(s) from anomaly date.,High
16018403502,2023-02-22,STRONTIUM,502.0,0.862,"rate_of_change, delta, rolling_mean_14 (-10.27, -5.29, 5.27)",CONDUCTIVITY; ALUMINUM,none,,No public spill or flow-spike match found in the window.,None
16018401202,2020-11-23,"IRON,     UNFILTERED TOTAL",122.0,0.8605,"rolling_std_30, rolling_std_14, time_gap_days (7.77, 7.61, 5.36)","ALUMINIUM, UNFILTERED TOTAL; CONDUCTIVITY, AMBIENT; CONDUCTIVITY, 25C; PHOSPHORUS,UNFILTERED TOTAL; STRONTIUM, UNFILTERED TOTAL",flow_spike,2020-11-26,Hydrometric flow spike at gauge 02GA003 3 day(s) from anomaly date.,Possible
16018403502,2023-04-19,STRONTIUM,978.0,0.855,"rate_of_change, delta, rolling_std_7 (8.56, 4.71, 4.61)",ALUMINUM; IRON; CONDUCTIVITY,none,,No public spill or flow-spike match found in the window.,None
16018402702,2020-03-11,"IRON,     UNFILTERED TOTAL",889.0,0.8517,"rolling_std_30, rolling_std_14, rolling_std_7 (7.61, 7.45, 7.14)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL; CONDUCTIVITY, 25C; CONDUCTIVITY, AMBIENT; STRONTIUM, UNFILTERED TOTAL",flow_spike,2020-03-11,Hydrometric flow spike at gauge 02GB001 0 day(s) from anomaly date.,High
16018403502,2023-04-03,IRON,1360.0,0.8517,"rate_of_change, delta, rolling_std_7 (15.72, 6.42, 4.78)",STRONTIUM; ALUMINUM; CONDUCTIVITY; PHOSPHORUS; TOTAL; SOLIDS; SUSPENDED,flow_spike,2023-04-03,Hydrometric flow spike at gauge 02GB010 0 day(s) from anomaly date.,High
16018401202,2020-03-10,"IRON,     UNFILTERED TOTAL",832.0,0.8333,"rolling_std_30, rolling_std_14, delta (8.12, 7.96, 4.28)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL; CONDUCTIVITY, AMBIENT; CONDUCTIVITY, 25C",flow_spike,2020-03-10,Hydrometric flow spike at gauge 02GA003 0 day(s) from anomaly date.,High
16018401202,2019-08-13,"IRON,     UNFILTERED TOTAL",186.0,0.8222,"rolling_std_30, rolling_std_14, rolling_std_7 (10.73, 10.51, 8.92)","ALUMINIUM, UNFILTERED TOTAL; PHOSPHORUS,UNFILTERED TOTAL",flow_spike,2019-08-19,Hydrometric flow spike at gauge 02GA003 6 day(s) from anomaly date.,Possible
16018402702,2023-04-03,ALUMINUM,954.0,0.8207,"delta, zscore, rolling_std_7 (6.30, 3.87, 3.75)",CONDUCTIVITY; IRON; STRONTIUM; PHOSPHORUS; TOTAL,flow_spike,2023-04-02,Hydrometric flow spike at gauge 02GB001 1 day(s) from anomaly date.,High
16018401002,2020-01-13,"ALUMINIUM, UNFILTERED TOTAL",803.0,0.7965,"delta, rolling_std_30, rolling_std_14 (5.01, 3.49, 3.42)","IRON,     UNFILTERED TOTAL; CONDUCTIVITY, AMBIENT; CONDUCTIVITY, 25C",none,,No public spill or flow-spike match found in the window.,None
16018400902,2020-01-13,"PHOSPHORUS,UNFILTERED TOTAL",777.0,0.7928,"delta, rolling_std_30, rolling_std_14 (4.61, 3.16, 3.10)","RESIDUE,PARTICULATE; CONDUCTIVITY, AMBIENT; RESIDUE,TOTAL; RESIDUE,FILTERED",none,,No public spill or flow-spike match found in the window.,None
16018401002,2021-02-23,"CONDUCTIVITY, AMBIENT",1413.0,0.7849,"rolling_mean_7, rolling_std_7, rolling_mean_14 (3.88, 3.72, 3.70)","CONDUCTIVITY, 25C",none,,No public spill or flow-spike match found in the window.,None
